date,TC
2020/1/1,5509.9
2020/1/2,5228.89
2020/1/3,4978.35
2020/1/4,5303.73
2020/1/5,5573.35
2020/1/6,5088.85
2020/1/7,5234.94
2020/1/8,5472.45
2020/1/9,5723.89
2020/1/10,5483.28
2020/1/11,5814.47
2020/1/12,6098.34
2020/1/13,6148.19
2020/1/14,6106.54
2020/1/15,6511.08
2020/1/16,6633.57
2020/1/17,6483.23
2020/1/18,6501.86
2020/1/19,6332.53
2020/1/20,6291.1
2020/1/21,6185.42
2020/1/22,6033.3
2020/1/23,5550.45
2020/1/24,5180.04
2020/1/25,5051.55
2020/1/26,5132.74
2020/1/27,5398.25
2020/1/28,5650.64
2020/1/29,5478.2
2020/1/30,5684.23
2020/1/31,5795.82
2020/2/1,5792.55
2020/2/2,5543.44
2020/2/3,5518.61
2020/2/4,5280.93
2020/2/5,5160.66
2020/2/6,5582.14
2020/2/7,5776.7
2020/2/8,5549.99
2020/2/9,5302.55
2020/2/10,5569.62
2020/2/11,5620.6
2020/2/12,5364.24
2020/2/13,4953.91
2020/2/14,4703.37
2020/2/15,5092.94
2020/2/16,5343.69
2020/2/17,5355.82
2020/2/18,5049.99
2020/2/19,5487.13
2020/2/20,5452.77
2020/2/21,5132.78
2020/2/22,4900.18
2020/2/23,4662.75
2020/2/24,3968.57
2020/2/25,3784.43
2020/2/26,3780.72
2020/2/27,3820.13
2020/2/28,3661.31
2020/2/29,3674.68
2020/3/1,4130.39
2020/3/2,4151.23
2020/3/3,4250.86
2020/3/4,4323.09
2020/3/5,4407.36
2020/3/6,4177.46
2020/3/7,3895.53
2020/3/8,3681.18
2020/3/9,3614.64
2020/3/10,3698.3
2020/3/11,3262.85
2020/3/12,3070.72
2020/3/13,3158.8
2020/3/14,3346.59
2020/3/15,3042.27
2020/3/16,2596.24
2020/3/17,2589.16
2020/3/18,2541.89
2020/3/19,2239.08
2020/3/20,1943.12
2020/3/21,1803.91
2020/3/22,1638.79
2020/3/23,1526.89
2020/3/24,1501.9
2020/3/25,1519.4
2020/3/26,1465.68
2020/3/27,1515.98
2020/3/28,1812.9
2020/3/29,2127.75
2020/3/30,2315.13
2020/3/31,2235.58
2020/4/1,2664.49
2020/4/2,2641.8
2020/4/3,2669.88
2020/4/4,2536.26
2020/4/5,2191.5
2020/4/6,2014.92
2020/4/7,1759.86
2020/4/8,1651.83
2020/4/9,1531.85
2020/4/10,1557.66
2020/4/11,1691.41
2020/4/12,1806.44
2020/4/13,1665.77
2020/4/14,1544.16
2020/4/15,1693.09
2020/4/16,1629.04
2020/4/17,1477.41
2020/4/18,1465.83
2020/4/19,1546.94
2020/4/20,1475.5
2020/4/21,1421.84
2020/4/22,1443.39
2020/4/23,1526.63
2020/4/24,988.87
2020/4/25,1491
2020/4/26,1403.27
2020/4/27,1370.85
2020/4/28,1364.66
2020/4/29,1334.86
2020/4/30,1293.8
